Country_Name;Country_Code;Continent_Name;Continent_Code;Population_1960;Population_2018;GDP_per_capita_1960;GDP_per_capita_2018;Life_expectancy_at_birth_1960;Life_expectancy_at_birth_2018
Afghanistan;AFG;Asia;AS;8996973;37172386;59.77319384;520.8966027;32.446;64.486
Albania;ALB;Europe;EU;1608800;2866376;;3952.829458;62.283;78.458
Algeria;DZA;Africa;AF;11057863;42228429;246.3087625;4177.867517;46.141;76.693
American Samoa;ASM;Oceania;OC;20123;55465;;11843.33118;;
Andorra;AND;Europe;EU;13411;77006;;36039.6535;;
Angola;AGO;Africa;AF;5454933;30809762;;4166.979684;37.524;60.782
Antigua and Barbuda;ATG;Americas;NA;54131;96286;;14286.09316;61.968;76.885
Argentina;ARG;Americas;SA;20481779;44494502;;13789.06042;65.055;76.52
Armenia;ARM;Europe;EU;1874121;2951776;;3607.296697;65.972;74.945
Aruba;ABW;Americas;NA;54211;105845;;25796.38025;65.662;76.152
Australia;AUS;Oceania;OC;10276477;24982688;1807.78571;56755.72171;70.81707317;82.74878049
Austria;AUT;Europe;EU;7047539;8840521;935.4604269;44178.04738;68.58560976;81.64390244
Azerbaijan;AZE;Europe;EU;3895397;9939800;;5500.320497;61.034;72.864
Bahamas, The;BHS;Americas;NA;109534;385640;1550.239392;31405.96356;64.74;73.752
Bahrain;BHR;Asia;AS;162427;1569439;;22688.96379;51.869;77.163
Bangladesh;BGD;Asia;AS;48013504;161356039;89.03524128;1248.453398;45.379;72.32
Barbados;BRB;Americas;NA;230980;286641;;16561.87352;64.472;79.081
Belarus;BLR;Europe;EU;8198000;9483499;;5949.106307;67.70809756;74.17560976
Belgium;BEL;Europe;EU;9153489;11433256;1273.691659;40991.80814;69.70195122;81.59512195
Belize;BLZ;Americas;NA;92064;383071;304.9171073;4775.915077;59.981;74.496
Benin;BEN;Africa;AF;2431622;11485048;93.02250899;1076.797716;37.271;61.47
Bermuda;BMU;Americas;NA;44400;63973;1902.402119;;;81.65170732
