year;pop; life_exp 
1960;3031519642; 52.58 
1961;3072565230; 53.08 
1962;3125542316; 53.50 
1963;3190651098; 54.02 
1964;3256154512; 54.69 
1965;3323068099; 55.35 
1966;3393134164; 56.08 
1967;3462573375; 56.79 
1968;3532954374; 57.39 
1969;3607645403; 58.00 
1970;3683077634; 58.58 
1971;3760699919; 59.11 
1972;3837110388; 59.60 
1973;3912593704; 60.04 
1974;3988752731; 60.54 
1975;4063167139; 60.99 
1976;4135747233; 61.41 
1977;4208119560; 61.83 
1978;4281684769; 62.19 
1979;4357131598; 62.55 
1980;4433318703; 62.84 
1981;4511532472; 63.18 
1982;4592733330; 63.51 
1983;4674650966; 63.76 
1984;4756287245; 64.02 
1985;4839430618; 64.28 
1986;4925070490; 64.58 
1987;5012861874; 64.83 
1988;5101573525; 65.03 
1989;5190241269; 65.25 
1990;5280613175; 65.43 
1991;5368481618; 65.62 
1992;5452665090; 65.77 
1993;5537720840; 65.89 
1994;5621849698; 66.09 
1995;5706810231; 66.28 
1996;5789732873; 66.56 
1997;5872353084; 66.84 
1998;5954092157; 67.09 
1999;6034566869; 67.29 
2000;6114392554; 67.55 
2001;6193746234; 67.82 
2002;6272813883; 68.07 
2003;6351967145; 68.33 
2004;6431666173; 68.65 
2005;6511895791; 68.92 
2006;6592918088; 69.26 
2007;6674426937; 69.59 
2008;6757185028; 69.90 
2009;6839890319; 70.25 
2010;6922242284; 70.56 
2011;7003287866; 70.88 
2012;7086250251; 71.17 
2013;7170197835; 71.46 
2014;7254854126; 71.74 
2015;7339663503; 71.95 
2016;7425073647; 72.18 
2017;7509933599; 72.39 
2018;7592886796; 72.56 
2019;7672888000; 72.56 
2020;7752058000; 72.92 
2021;7830324000; 72.92 
2022;7907708000; 72.92 
2023;7984179000; 72.92 
2024;8059728000; 72.92 
2025;8134367000; 73.64 
2026;8208014000; 73.64 
2027;8280633000; 73.64 
2028;8352194000; 73.64 
2029;8422679000; 73.64 
2030;8492078000; 74.36 
2031;8560400000; 74.36 
2032;8627637000; 74.36 
2033;8693778000; 74.36 
2034;8758846000; 74.36 
2035;8822866000; 75.02 
2036;8885842000; 75.02 
2037;8947797000; 75.02 
2038;9008730000; 75.02 
2039;9068621000; 75.02 
2040;9127482000; 75.63 
2041;9185313000; 75.63 
2042;9242075000; 75.63 
2043;9297733000; 75.63 
2044;9352236000; 75.63 
2045;9405573000; 76.22 
2046;9457686000; 76.22 
2047;9508599000; 76.22 
2048;9558293000; 76.22 
2049;9606759000; 76.22 
2050;9653624000; 76.78 
